100,169.596000
350,120.594000
600,52.592000
850,112.206000
1100,31.998000
1350,28.830000
1600,32.410000
1850,36.190000
2100,60.796000
2350,35.610000
2600,28.966000
2850,29.134000
3100,35.794000
3350,28.394000
3600,56.182000
3850,37.416000
4100,30.388000
4350,31.020000
4600,49.008000
4850,49.988000
5100,36.160000
5350,52.358000
5600,157.412000
5850,66.796000
6100,47.016000
6350,32.384000
6600,37.386000
6850,58.374000
7100,40.226000
7350,32.990000
7600,63.814000
7850,30.812000
8100,37.602000
8350,29.996000
8600,28.008000
8850,32.198000
9100,29.800000
9350,28.716000
9600,40.204000
9850,28.648000
10100,29.734000
10350,98.406000
10600,28.798000
10850,29.328000
11100,32.186000
11350,36.826000
11600,43.598000
11850,80.412000
12100,33.986000
12350,28.776000
12600,45.380000
12850,28.042000
13100,56.208000
13350,48.812000
13600,39.400000
13850,33.224000
14100,70.988000
14350,31.804000
14600,28.586000
14850,29.040000
15100,48.586000
15350,68.176000
15600,30.596000
15850,28.600000
16100,31.208000
16350,31.010000
16600,44.204000
16850,33.598000
17100,46.598000
17350,50.402000
17600,58.984000
17850,33.592000
18100,38.796000
18350,30.652000
18600,32.434000
18850,23.580000
19100,29.604000
19350,54.792000
19600,78.408000
19850,35.744000
