100,48.656667
350,78.006667
600,34.663333
850,35.003333
1100,32.333333
1350,30.996667
1600,44.013333
1850,30.343333
2100,67.673333
2350,82.680000
2600,43.010000
2850,30.656667
3100,157.983333
3350,73.023333
3600,67.683333
3850,30.993333
4100,49.333333
4350,32.003333
4600,35.696667
4850,47.993333
5100,28.323333
5350,36.023333
5600,74.333333
5850,134.333333
6100,40.333333
6350,29.676667
6600,29.000000
6850,27.323333
7100,42.996667
7350,28.010000
7600,50.676667
7850,69.003333
8100,45.996667
8350,30.340000
8600,33.023333
8850,206.043333
9100,75.003333
9350,43.653333
9600,36.650000
9850,28.340000
10100,28.676667
10350,39.666667
10600,80.016667
10850,40.673333
11100,30.660000
11350,43.666667
11600,27.646667
11850,47.670000
12100,35.653333
12350,29.330000
12600,45.336667
12850,28.003333
13100,43.036667
13350,46.643333
13600,49.980000
13850,28.666667
14100,32.986667
14350,53.023333
14600,27.663333
14850,27.663333
15100,48.670000
15350,30.976667
15600,31.330000
15850,32.350000
16100,33.350000
16350,113.650000
16600,50.326667
16850,29.350000
17100,106.336667
17350,336.340000
17600,64.340000
17850,28.003333
18100,29.010000
18350,28.666667
18600,27.673333
18850,45.996667
19100,30.343333
19350,34.336667
19600,56.646667
19850,215.693333
